Patient Subset,Feature Subset,Engaged,Seed,Summarized,Vectorizer,RandomForest_accuracy,RandomForest_roc_auc,RandomForest_sensitivity,RandomForest_specificity,AdaBoost_accuracy,AdaBoost_roc_auc,AdaBoost_sensitivity,AdaBoost_specificity,XGBoost_accuracy,XGBoost_roc_auc,XGBoost_sensitivity,XGBoost_specificity,Run ID
1,2,0,0,0,1,0.6787,0.691,0.537,0.72,0.6757,0.678,0.0,1.0,0.6757,0.6808,0.5648,0.72,1
1,2,0,0,0,2,0.6787,0.691,0.537,0.72,0.6757,0.678,0.0,1.0,0.6757,0.6808,0.5648,0.72,2
1,2,0,0,1,1,0.6787,0.691,0.537,0.72,0.6757,0.678,0.0,1.0,0.6757,0.6808,0.5648,0.72,3
1,2,0,0,1,2,0.6787,0.691,0.537,0.72,0.6757,0.678,0.0,1.0,0.6757,0.6808,0.5648,0.72,4
1,2,0,1,0,1,0.7237,0.7124,0.6413,0.6598,0.7237,0.6931,0.6848,0.6556,0.7147,0.6865,0.5761,0.6929,5
1,2,0,1,0,2,0.7237,0.7124,0.6413,0.6598,0.7237,0.6931,0.6848,0.6556,0.7147,0.6865,0.5761,0.6929,6
1,2,0,1,1,1,0.7237,0.7124,0.6413,0.6598,0.7237,0.6931,0.6848,0.6556,0.7147,0.6865,0.5761,0.6929,7
1,2,0,1,1,2,0.7237,0.7124,0.6413,0.6598,0.7237,0.6931,0.6848,0.6556,0.7147,0.6865,0.5761,0.6929,8
1,2,0,2,0,1,0.7267,0.6321,0.4835,0.657,0.7267,0.6301,0.5165,0.6529,0.7237,0.6503,0.4835,0.7066,9
1,2,0,2,0,2,0.7267,0.6321,0.4835,0.657,0.7267,0.6301,0.5165,0.6529,0.7237,0.6503,0.4835,0.7066,10
1,2,0,2,1,1,0.7267,0.6321,0.4835,0.657,0.7267,0.6301,0.5165,0.6529,0.7237,0.6503,0.4835,0.7066,11
1,2,0,2,1,2,0.7267,0.6321,0.4835,0.657,0.7267,0.6301,0.5165,0.6529,0.7237,0.6503,0.4835,0.7066,12
1,2,0,3,0,1,0.7357,0.6627,0.6022,0.65,0.7207,0.6321,0.6344,0.6042,0.7117,0.6626,0.6344,0.6333,13
1,2,0,3,0,2,0.7357,0.6627,0.6022,0.65,0.7207,0.6321,0.6344,0.6042,0.7117,0.6626,0.6344,0.6333,14
1,2,0,3,1,1,0.7357,0.6627,0.6022,0.65,0.7207,0.6321,0.6344,0.6042,0.7117,0.6626,0.6344,0.6333,15
1,2,0,3,1,2,0.7357,0.6627,0.6022,0.65,0.7207,0.6321,0.6344,0.6042,0.7117,0.6626,0.6344,0.6333,16
1,2,0,4,0,1,0.7177,0.6879,0.6632,0.6555,0.7147,0.6682,0.7158,0.542,0.7237,0.6762,0.6,0.6765,17
1,2,0,4,0,2,0.7177,0.6879,0.6632,0.6555,0.7147,0.6682,0.7158,0.542,0.7237,0.6762,0.6,0.6765,18
1,2,0,4,1,1,0.7177,0.6879,0.6632,0.6555,0.7147,0.6682,0.7158,0.542,0.7237,0.6762,0.6,0.6765,19
1,2,0,4,1,2,0.7177,0.6879,0.6632,0.6555,0.7147,0.6682,0.7158,0.542,0.7237,0.6762,0.6,0.6765,20
1,2,0,5,0,1,0.7267,0.6563,0.5667,0.642,0.7297,0.6239,0.5333,0.6379,0.7207,0.6437,0.5333,0.6667,21
1,2,0,5,0,2,0.7267,0.6563,0.5667,0.642,0.7297,0.6239,0.5333,0.6379,0.7207,0.6437,0.5333,0.6667,22
1,2,0,5,1,1,0.7267,0.6563,0.5667,0.642,0.7297,0.6239,0.5333,0.6379,0.7207,0.6437,0.5333,0.6667,23
1,2,0,5,1,2,0.7267,0.6563,0.5667,0.642,0.7297,0.6239,0.5333,0.6379,0.7207,0.6437,0.5333,0.6667,24
1,2,0,6,0,1,0.7237,0.6693,0.617,0.6402,0.7177,0.6368,0.5957,0.6276,0.7297,0.6785,0.5,0.6987,25
